,BC
2922,12566.0
2923,0.0
2924,0.0
2925,0.0
2926,0.0
2927,0.0
2928,398.18523999999996
2929,8461.22362
2930,2663.02552
2931,0.0
2932,1694.2154299999997
2933,0.0
2934,3575.1711800000003
2935,0.0
2936,0.0
2937,0.0
2938,11287.47748
2939,0.0
2940,6274.0
2941,0.0
2942,2004.042975
2943,802.130804
2944,23415.701399999998
2945,940.107686
2946,2176.0281800000002
2947,0.0
2948,2519.78696
2949,0.0
2950,444.90794000000005
2951,0.0
2952,6766.37212
2953,0.0
2954,2273.8360600000005
2955,0.0
2956,0.0
2957,0.0
2958,0.0
2959,3416.0823000000005
2960,0.0
2961,0.0
2962,7457.88155
2963,0.0
2964,0.0
2965,2476.148275
2966,0.0
2967,1261.6496920000002
2968,0.0
2969,0.0
2970,5953.17762
2971,940.084808
2972,2789.8869
2973,0.0
2974,0.0
2975,5427.82554
2976,0.0
2977,303.03203799999994
2978,13646.250666666667
2979,0.0
2980,456.87645999999995
2981,0.0
2982,0.0
2983,0.0
2984,0.0
2985,0.0
2986,0.0
2987,8193.08058
2988,0.0
2989,3782.8
2990,6479.15588
2991,17883.8154
2992,0.0
2993,0.0
2994,6367.89
2995,0.0
2996,0.0
2997,6150.4871
2998,442.862058
2999,0.0
3000,0.0
3001,3406.2292199999997
3002,0.0
3003,5345.930060000001
3004,7864.42214
3005,7695.981239999999
3006,0.0
3007,5.0953738600000005
3008,0.0
3009,93710.9186
3010,908.349244
3011,6559.628399999999
3012,4742.9182
3013,4003.6844600000004
3014,0.0
3015,0.0
3016,4014.5196499999997
3017,0.0
3018,12882.7116
3019,6219.653659999999
3020,320.030948
3021,0.0
3022,0.0
3023,0.0
3024,0.0
3025,0.0
3026,18064.159
3027,0.0
3028,2363.0703999999996
3029,0.0
3030,0.0
3031,0.0
3032,336.3559325
3033,1726.231368
3034,0.0
3035,1576.54397994
3036,0.0
3037,1065.61133
3038,0.0
3039,0.0
3040,0.0
3041,0.0
3042,0.0
3043,84.44266
3044,0.0
3045,0.0
3046,0.0
3047,0.0
3048,0.0
3049,0.0
3050,0.0
3051,0.0
3052,0.0
3053,0.0
3054,0.0
3055,23232.671599999998
3056,355.075666
3057,2197.8871799999997
3058,0.0
3059,0.0
3060,63792.7068
3061,0.0
3062,5523.52728
3063,0.0
3064,1337.64326
3065,0.0
3066,3297.976366
3067,0.0
3068,1795.9523139999997
3069,0.0
3070,711.126
3071,997.8305700000001
3072,0.0
3073,10004.677200000002
3074,12763.4276
3075,605.826566
3076,527.4366440000001
3077,0.0
3078,1662.9497000000003
3079,616.0868700000001
3080,4039.180908
3081,3536.05654
3082,600.917
3083,0.0
3084,0.0
3085,2965.9023399999996
3086,0.0
3087,12105.537
3088,0.0
3089,3014.43744
3090,6285.0
3091,4370.3571600000005
3092,0.0
3093,26230.446400000004
3094,314.212354
3095,0.0
3096,0.0
3097,0.0
3098,3322.8979333333336
3099,0.0
3100,0.0
3101,893.542712
3102,0.0
3103,4839.219239999999
3104,561.47416
3105,398.015918
3106,2705.2334800000003
3107,489.05828
3108,388.77671999999995
3109,0.0
3110,0.0
3111,1259.14352
3112,251.35413
3113,6.1013112000000005
3114,0.0
3115,0.0
3116,14161.516674999999
3117,0.0
3118,93.7410572
3119,0.0
3120,0.0
3121,0.0
3122,0.0
3123,0.0
3124,0.0
3125,11090.295699999999
3126,0.0
3127,0.0
3128,896.2278760000002
3129,0.0
3130,0.0
3131,0.0
3132,10782.76408
3133,0.0
3134,0.0
3135,65.411602
3136,0.0
3137,521.04292
3138,0.0
3139,3796.4
3140,3000.1392
3141,24307.2374
3142,0.0
3143,6091.2696000000005
